Rank,Stock 1,Stock 2,Coint Score,Grade,Return (%),Sharpe,Max DD (%),Win Rate (%),Trades,Avg Trade (%)
83,MAA,PGR,83.88888888888889,A级 (优秀),13.98933881251185,4.092103881851738,-2.8251085645969676,100.0,8,1.8730876621861228
84,VICI,VZ,86.66666666666667,A级 (优秀),13.986589412067959,2.5389962894597162,-3.0566318450679146,91.66666666666666,12,1.3037539590124843
85,LH,TDY,97.77777777777777,S级 (完美),13.854414618435548,1.5084485405261983,-3.31501536433711,58.82352941176471,17,0.9389913627618036
86,HSIC,KDP,76.66666666666667,B级 (良好),13.764955965282105,1.6434413613670287,-4.78900260648732,83.33333333333334,6,2.4319908442683293
87,EG,OMC,97.77777777777777,S级 (完美),13.718772664171091,0.9699575626470807,-5.055242476382589,68.42105263157895,19,0.8502921186714051
88,RMD,VST,86.66666666666667,A级 (优秀),13.669199167776942,1.0663042690737803,-7.956025669442547,72.72727272727273,11,1.3671973201424634
89,MSCI,NOW,91.11111111111111,S级 (完美),13.617126294153714,1.2270951785227848,-6.989729217912585,64.70588235294117,17,0.9229801393096979
90,AIG,DHR,75.55555555555556,B级 (良好),13.588996262785688,15.846212081705236,-1.5525737502800059,100.0,4,3.5247214793266792
91,EG,WMB,97.77777777777777,S级 (完美),13.528307248998653,2.4846443158758214,-2.6881997465294054,80.0,10,1.478561758021299
92,PDD,TMUS,71.66666666666666,B级 (良好),13.268341826546864,1.2700972857965778,-6.104442857707821,50.0,6,2.330399455982647
93,EG,PODD,97.77777777777777,S级 (完美),13.25050141077346,0.8101377139289082,-7.208084500359349,53.84615384615385,13,1.1452196925605775
94,EG,SHOP,100.0,S级 (完美),13.2018875859924,2.6934660485227915,-5.197829746758883,71.42857142857143,7,2.009715017092969
95,COP,TGT,95.55555555555556,S级 (完美),13.174226369688302,2.052515121473781,-3.751707640241639,90.0,10,1.4453821977374843
96,COP,DUK,78.88888888888889,B级 (良好),13.156036080254562,3.5748914179195554,-3.489255263665446,85.71428571428571,7,2.0067467048231165
97,AJG,HAL,78.88888888888889,B级 (良好),13.136063197389392,1.468285388205995,-3.770753805924144,66.66666666666666,9,1.5846140612771
98,ALL,MO,88.33333333333333,A级 (优秀),13.006781559669573,1.7294993034514883,-3.8861449249483453,78.57142857142857,14,1.056767909111983
99,ABT,FANG,88.33333333333333,A级 (优秀),12.970599753769275,1.4253189500747274,-5.594503622360304,77.77777777777779,9,1.5659943141866923
100,PFE,SWK,81.66666666666667,A级 (优秀),12.708601093051506,1.20642721369858,-3.8724492367045866,71.42857142857143,14,1.0493935737986273
101,EG,TER,81.11111111111111,A级 (优秀),12.700564996172004,1.0205710437484201,-7.453099939317783,66.66666666666666,15,0.9672766419107547
102,HD,NCLH,88.88888888888889,A级 (优秀),12.603946643367948,2.512367772879809,-3.0688725237632553,77.77777777777779,9,1.529012539196492
103,EG,META,100.0,S级 (完美),12.464364211380847,0.985461190575817,-9.619607452716963,57.14285714285714,7,1.8978724440084076
104,EG,NVDA,86.66666666666667,A级 (优秀),12.436201321248983,1.4295453936713727,-9.353137475271291,85.71428571428571,7,1.9001146193372769
105,EG,PANW,91.11111111111111,S级 (完美),12.420914665222838,2.2023654489388624,-3.803498988171736,87.5,8,1.6773838302126514
